ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
TWTR,8-K,2022-10-31,0001193125-22-272772,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522272772/d411753d8k.htm,0,,,8-K - 2022-10-31,metadata_only
TWTR,8-K,2022-09-14,0001193125-22-244289,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522244289/d403306d8k.htm,0,,,8-K - 2022-09-14,metadata_only
TWTR,8-K,2022-09-12,0001193125-22-242335,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522242335/d395119d8k.htm,0,,,8-K - 2022-09-12,metadata_only
TWTR,8-K,2022-08-30,0001193125-22-233469,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522233469/d359937d8k.htm,0,,,8-K - 2022-08-30,metadata_only
TWTR,10-Q,2022-07-26,0001418091-22-000147,https://www.sec.gov/Archives/edgar/data/0001418091/000141809122000147/twtr-20220630.htm,0,,,10-Q - 2022-07-26,metadata_only
TWTR,8-K,2022-07-22,0001418091-22-000143,https://www.sec.gov/Archives/edgar/data/0001418091/000141809122000143/twtr-20220722.htm,0,,,8-K - 2022-07-22,metadata_only
TWTR,8-K,2022-07-13,0001193125-22-192993,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522192993/d381911d8k.htm,0,,,8-K - 2022-07-13,metadata_only
TWTR,8-K,2022-07-11,0001193125-22-191300,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522191300/d370677d8k.htm,0,,,8-K - 2022-07-11,metadata_only
TWTR,8-K,2022-05-27,0001193125-22-161795,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522161795/d340224d8k.htm,0,,,8-K - 2022-05-27,metadata_only
TWTR,10-Q,2022-05-02,0001418091-22-000075,https://www.sec.gov/Archives/edgar/data/0001418091/000141809122000075/twtr-20220331.htm,0,,,10-Q - 2022-05-02,metadata_only
TWTR,8-K,2022-04-28,0001418091-22-000072,https://www.sec.gov/Archives/edgar/data/0001418091/000141809122000072/twtr-20220428.htm,0,,,8-K - 2022-04-28,metadata_only
TWTR,8-K,2022-04-26,0001193125-22-120461,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522120461/d310843d8k.htm,0,,,8-K - 2022-04-26,metadata_only
TWTR,8-K,2022-04-25,0001193125-22-117720,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522117720/d319190d8k.htm,0,,,8-K - 2022-04-25,metadata_only
TWTR,8-K,2022-04-18,0001193125-22-107462,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522107462/d296740d8k.htm,0,,,8-K - 2022-04-18,metadata_only
TWTR,DEF 14A,2022-04-12,0001140361-22-014049,https://www.sec.gov/Archives/edgar/data/0001140361/000114036122014049/ny20001921x3_def14a.htm,0,,,DEF 14A - 2022-04-12,metadata_only
TWTR,8-K,2022-04-05,0001193125-22-095651,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522095651/d342257d8k.htm,0,,,8-K - 2022-04-05,metadata_only
TWTR,8-K,2022-02-25,0001193125-22-054392,https://www.sec.gov/Archives/edgar/data/0001193125/000119312522054392/d171069d8k.htm,0,,,8-K - 2022-02-25,metadata_only
TWTR,10-K,2022-02-16,0001418091-22-000029,https://www.sec.gov/Archives/edgar/data/0001418091/000141809122000029/twtr-20211231.htm,0,,,10-K - 2022-02-16,metadata_only
