ticker,filing_type,filing_date,accession_number,filing_url,ai_mentions_count,ai_keywords_found,ai_context_snippets,filing_title,status
NVDA,10-Q,2025-08-27,0001045810-25-000209,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000209/nvda-20250727.htm,0,,,10-Q - 2025-08-27,metadata_only
NVDA,8-K,2025-08-27,0001045810-25-000207,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000207/nvda-20250827.htm,0,,,8-K - 2025-08-27,metadata_only
NVDA,8-K,2025-08-05,0001045810-25-000197,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000197/nvda-20250731.htm,0,,,8-K - 2025-08-05,metadata_only
NVDA,8-K,2025-07-01,0001045810-25-000179,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000179/nvda-20250625.htm,0,,,8-K - 2025-07-01,metadata_only
NVDA,10-Q,2025-05-28,0001045810-25-000116,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000116/nvda-20250427.htm,0,,,10-Q - 2025-05-28,metadata_only
NVDA,8-K,2025-05-28,0001045810-25-000115,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000115/nvda-20250528.htm,0,,,8-K - 2025-05-28,metadata_only
NVDA,DEF 14A,2025-05-13,0001045810-25-000095,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000095/nvda-20250512.htm,0,,,DEF 14A - 2025-05-13,metadata_only
NVDA,8-K,2025-04-15,0001045810-25-000082,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000082/nvda-20250409.htm,0,,,8-K - 2025-04-15,metadata_only
NVDA,8-K,2025-03-07,0001045810-25-000039,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000039/nvda-20250303.htm,0,,,8-K - 2025-03-07,metadata_only
NVDA,10-K,2025-02-26,0001045810-25-000023,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000023/nvda-20250126.htm,0,,,10-K - 2025-02-26,metadata_only
NVDA,8-K,2025-02-26,0001045810-25-000021,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000021/nvda-20250226.htm,0,,,8-K - 2025-02-26,metadata_only
NVDA,8-K,2025-01-17,0001045810-25-000007,https://www.sec.gov/Archives/edgar/data/0001045810/000104581025000007/nvda-20250113.htm,0,,,8-K - 2025-01-17,metadata_only
NVDA,10-Q,2024-11-20,0001045810-24-000316,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000316/nvda-20241027.htm,0,,,10-Q - 2024-11-20,metadata_only
NVDA,8-K,2024-11-20,0001045810-24-000315,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000315/nvda-20241120.htm,0,,,8-K - 2024-11-20,metadata_only
NVDA,8-K,2024-11-07,0001045810-24-000300,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000300/nvda-20241107.htm,0,,,8-K - 2024-11-07,metadata_only
