"Global X Artificial Intelligence & Technology ETF",,,,
"Fund Holdings Data as of 09/25/2020",,,,
"% of Net Assets",Ticker,Name,SEDOL,"Market Price ($)","Shares Held","Market Value ($)"
3.701,CRM,"SALESFORCE.COM INC",2310525,242.74,"13,703.00","3,326,266.22"
3.671,QCOM,"QUALCOMM INC",2714923,114.50,"28,815.00","3,299,317.50"
3.654,NVDA,"NVIDIA CORP",2379504,514.95,"6,377.00","3,283,836.15"
3.352,"3690 HK","MEITUAN DIANPING-CLASS B",BGJW376,29.94,"100,631.00","3,012,418.24"
3.192,NOW,"SERVICENOW INC",B80NXX8,479.97,"5,977.00","2,868,780.69"
3.184,ADBE,"ADOBE INC",2008154,479.78,"5,964.00","2,861,407.92"
3.150,FB,"FACEBOOK INC-CLASS A",B7TL820,254.82,"11,109.00","2,830,795.38"
3.123,"005930 KS","SAMSUNG ELECTRON",6771720,49.08,"57,186.00","2,806,793.94"
3.094,BABA,"ALIBABA GRP-ADR",BP41ZD1,271.09,"10,259.00","2,781,112.31"
3.083,ORCL,"ORACLE CORP",2661568,59.80,"46,342.00","2,771,251.60"
2.975,SHOP,"SHOPIFY INC - CLASS A",BXDZ9Z0,960.92,"2,783.00","2,674,240.36"
2.972,AMZN,"AMAZON.COM INC",2000019,"3,095.13",863.00,"2,671,097.19"
2.952,AMD,"ADVANCED MICRO DEVICES",2007849,78.06,"33,995.00","2,653,479.73"
2.950,MSFT,"MICROSOFT CORP",2588173,207.82,"12,757.00","2,651,159.74"
2.907,NFLX,"NETFLIX INC",2857817,482.88,"5,410.00","2,612,380.80"
2.800,"SIE GR","SIEMENS AG-REG",5727973,129.76,"19,395.00","2,516,712.29"
2.730,GOOGL,"ALPHABET INC-CL A",BYVY8G0,"1,439.06","1,705.00","2,453,597.30"
2.686,IBM,IBM,2005973,118.95,"20,296.00","2,414,209.20"
2.599,"700 HK","TENCENT HOLDINGS LTD",BMMV2K8,64.97,"35,951.00","2,335,640.22"
2.367,INTC,"INTEL CORP",2463247,49.94,"42,591.00","2,126,994.54"
2.322,CSCO,"CISCO SYSTEMS INC",2198163,38.45,"54,266.00","2,086,527.70"
1.934,UBER,"UBER TECHNOLOGIES INC",BK6N347,34.46,"50,446.00","1,738,369.16"
1.757,NOC,"NORTHROP GRUMMAN CORP",2648806,328.00,"4,815.00","1,579,320.00"
1.253,TRI,"THOMSON REUTERS CORP",BFXPT09,78.63,"14,321.00","1,126,060.23"
1.213,WDAY,"WORKDAY INC-CLASS A",B8K6ZD1,215.78,"5,052.00","1,090,120.56"
1.185,EBAY,"EBAY INC",2293819,52.48,"20,289.00","1,064,766.72"
1.125,"IFX GR","INFINEON TECHNOLOGIES AG",5889505,26.69,"37,889.00","1,011,212.71"
1.115,"EXPN LN","EXPERIAN PLC",B19NLV4,37.75,"26,540.00","1,001,757.55"
1.105,TWTR,"TWITTER INC",BFLR866,43.84,"22,647.00","992,844.48"
1.085,BIDU,"BAIDU INC - SPON ADR",B0FXT17,123.79,"7,875.00","974,846.25"
1.021,TWLO,"TWILIO INC - A",BD6P5Q0,245.02,"3,744.00","917,354.88"
1.009,SNPS,"SYNOPSYS INC",2867719,208.50,"4,349.00","906,766.50"
0.979,"000660 KS","SK HYNIX INC",6450267,70.71,"12,441.00","879,661.31"
0.961,SNAP,"SNAP INC - A",BD8DJ71,24.69,"34,967.00","863,335.23"
0.944,VRSK,"VERISK ANALYTICS INC",B4P9W92,181.34,"4,679.00","848,489.86"
0.943,SPLK,"SPLUNK INC",B424494,184.89,"4,584.00","847,535.76"
0.889,MU,"MICRON TECHNOLOGY INC",2588184,49.14,"16,268.00","799,409.52"
0.849,"STM IM","STMICROELECTRONICS NV",5962343,29.11,"26,217.00","763,060.73"
0.809,MCHP,"MICROCHIP TECHNOLOGY INC",2592174,99.05,"7,339.00","726,927.95"
0.802,"HEXAB SS","HEXAGON AB-B SHS",B1XFTL2,70.85,"10,173.00","720,777.18"
0.784,XLNX,"XILINX INC",2985677,100.35,"7,019.00","704,356.65"
