ticker,title,url,time_published,source,summary,sentiment_score,sentiment_label,ticker_sentiment_score,ticker_sentiment_label,relevance_score,category,ai_keywords_found
ZBRA,"Zebra Stock Rises As Strong Retail Demand, Sales Beat Drive Big Quarter, But Tariffs Cloud Full-Year Outlook - Zebra Technologies  ( NASDAQ:ZBRA ) ",https://www.benzinga.com/news/earnings/25/04/45075303/zebra-stock-rises-as-strong-retail-demand-sales-beat-drive-big-quarter-but-tariffs-cloud-full-year-,20250429T162634,Benzinga,"Zebra stock jumps over 6% after Q1 earnings and sales beat estimates, driven by strong segment growth. CEO sees continued demand into Q2, but trims full-year earnings outlook due to tariff-related costs. Today's manic market swings are creating the perfect setup for Matt's next volatility trade.",0.310262,Somewhat-Bullish,0.279015,Neutral,0,focused,AI
ZBRA,"Zebra Technologies Q1 Earnings & Revenues Top Estimates, Rise Y/Y",https://www.zacks.com/stock/news/2458175/zebra-technologies-q1-earnings-revenues-top-estimates-rise-yy,20250429T145200,Zacks Commentary,"ZBRA's first-quarter 2025 revenues surge 11.3% year over year, driven by strength in the Asset Intelligence & Tracking and Enterprise Visibility & Mobility segments.",0.133878,Neutral,0.557075,Somewhat-Bullish,0,broad,
ZBRA,Zebra Technologies  ( ZBRA )  Q1 Earnings and Revenues Top Estimates,https://www.zacks.com/stock/news/2457500/zebra-technologies-zbra-q1-earnings-and-revenues-top-estimates,20250429T114504,Zacks Commentary,"Zebra (ZBRA) delivered earnings and revenue surprises of 11.67% and 2.12%, respectively, for the quarter ended March 2025. Do the numbers hold clues to what lies ahead for the stock?",0.105096,Neutral,0.134968,Neutral,0,broad,
ZBRA,Will Lower Revenues Affect InterDigital's Q1 Earnings Results?,https://www.zacks.com/stock/news/2457070/will-lower-revenues-affect-interdigitals-q1-earnings-results,20250428T154700,Zacks Commentary,IDCC is expected to report a top-line contraction year over year in the first quarter of 2025 due to fierce competition and macroeconomic headwinds.,0.305029,Somewhat-Bullish,0.064104,Somewhat-Bullish,0,broad,
ZBRA,Zebra Technologies Gears Up to Post Q1 Earnings: What's in Store?,https://www.zacks.com/stock/news/2455142/zebra-technologies-gears-up-to-post-q1-earnings-whats-in-store,20250424T144500,Zacks Commentary,ZBRA's Q1 results are likely to benefit from the solid demand for mobile computing products and data capture solutions. High costs and expenses are likely to hurt its bottom-line results.,0.225024,Somewhat-Bullish,0.583787,Neutral,0,broad,
ZBRA,"ICT Adoption in Logistics & Transportation Sector Set to Accelerate, Projected to Grow at 8.95% CAGR by 2030",https://www.benzinga.com/pressreleases/25/04/g44981016/ict-adoption-in-logistics-transportation-sector-set-to-accelerate-projected-to-grow-at-8-95-cagr-b,20250424T140000,Benzinga,"Middleton, Massachusetts, April 24, 2025 ( GLOBE NEWSWIRE ) -- QKS Group, a premier market intelligence and advisory firm, has released its latest vertical-specific research highlighting the growing impact of Information and Communication Technology ( ICT ) across the Logistics and ...",0.363641,Bullish,0.051441,Neutral,0,broad,
ZBRA,Zebra Technologies Selects Ruder Finn as Agency of Record for the Americas,https://www.benzinga.com/pressreleases/25/04/n44919288/zebra-technologies-selects-ruder-finn-as-agency-of-record-for-the-americas,20250422T115000,Benzinga,"NEW YORK, April 22, 2025 /PRNewswire/ -- Zebra Technologies Corporation, a global leader in digitizing and automating frontline workflows, has appointed Ruder Finn as its PR Agency of Record ( AOR ) for North America and Latin America following a competitive pitch.",0.250122,Somewhat-Bullish,0.311631,Bullish,0,broad,
ZBRA,Intelligent Product Solutions Joins Zebra Technologies' PartnerConnect Program - Forward Industries  ( NASDAQ:FORD ) ,https://www.benzinga.com/pressreleases/25/04/g44790512/intelligent-product-solutions-joins-zebra-technologies-partnerconnect-program,20250414T141035,Benzinga,"HAUPPAUGE, N.Y., April 14, 2025 ( GLOBE NEWSWIRE ) -- Intelligent Product Solutions ( IPS ) , an award-winning product design and engineering firm specializing in complex systems integration and custom software development, today announced its participation in the award-winning Zebra® ...",0.333417,Somewhat-Bullish,0.190417,Neutral,0,focused,intelligent
ZBRA,Intelligent Product Solutions Joins Zebra Technologies' PartnerConnect Program,https://www.globenewswire.com/news-release/2025/04/14/3061073/0/en/Intelligent-Product-Solutions-Joins-Zebra-Technologies-PartnerConnect-Program.html,20250414T141000,GlobeNewswire,"Intelligent Product Solutions (IPS), a product design and development firm, today announced that it joined the Zebra PartnerConnect program.",0.317989,Somewhat-Bullish,0.220809,Neutral,0,focused,intelligent
ZBRA,Peering Into Zebra Technologies's Recent Short Interest - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/short-sellers/25/04/44607632/peering-into-zebra-technologiess-recent-short-interest,20250402T140020,Benzinga,"Zebra Technologies's ZBRA short percent of float has fallen 10.46% since its last report. The company recently reported that it has 613 thousand shares sold short, which is 1.37% of all regular shares that are available for trading.",0.268794,Somewhat-Bullish,0.203215,Neutral,0,focused,AI
ZBRA,Here's Why Investors Should Avoid Zebra Technologies for Now,https://www.zacks.com/stock/news/2438328/heres-why-investors-should-avoid-zebra-technologies-for-now,20250401T141000,Zacks Commentary,Increasing costs and high debt levels are weighing on ZBRA. Unfavorable foreign currency movement is an added concern.,-0.009722,Neutral,0.452639,Neutral,0,broad,
ZBRA,Autonomous Mobile Robots  ( AMR )  Market Disruptions: The $8.17 Billion Opportunity Vendors Can't Afford to Miss,https://www.benzinga.com/pressreleases/25/03/g44564138/autonomous-mobile-robots-amr-market-disruptions-the-8-17-billion-opportunity-vendors-cant-afford-t,20250331T150000,Benzinga,"Middleton, Massachusetts, March 31, 2025 ( GLOBE NEWSWIRE ) -- QKS Group, a premier market intelligence and advisory firm, has unveiled its latest comprehensive analysis of the global Autonomous Mobile Robots ( AMR ) Market, providing crucial insights for industry leaders aiming to capitalize on ...",0.426241,Bullish,0.049629,Neutral,0,focused,"AI, autonomous"
ZBRA,"Real-Time Location Systems Market Size to Surpass USD 40.71 Billion by 2031, Growing at a 26.5% CAGR - The Insight Partners",https://www.benzinga.com/pressreleases/25/03/g44471744/real-time-location-systems-market-size-to-surpass-usd-40-71-billion-by-2031-growing-at-a-26-5-cagr,20250325T121106,Benzinga,"US & Canada, March 25, 2025 ( GLOBE NEWSWIRE ) -- According to a new comprehensive report from The Insight Partners, ""Real-Time Location Systems Market Size and Forecast ( 2021 - 2031 ) , Global and Regional Share, Trend, and Growth Opportunity Analysis Report Coverage: By Offering, Technology, ...",0.315261,Somewhat-Bullish,0.023057,Neutral,0,broad,
ZBRA,Chief Marketing Officer Of Zebra Technologies Makes $470K Buy - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/news/25/03/44192293/chief-marketing-officer-of-zebra-technologies-makes-470k-buy,20250307T150444,Benzinga,"A notable insider purchase on March 6, was reported by John Robert Armstrong Jr, Chief Marketing Officer at Zebra Technologies ZBRA, based on the most recent SEC filing. What Happened: In a significant move reported in a Form 4 filing with the U.S.",0.303384,Somewhat-Bullish,0.323078,Bullish,0,broad,
ZBRA,Major Purchase Alert: Colleen OSullivan Invests $230K In Zebra Technologies Stock - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/news/25/03/44192285/major-purchase-alert-colleen-osullivan-invests-230k-in-zebra-technologies-stock,20250307T150434,Benzinga,"A notable insider purchase on March 6, was reported by Colleen OSullivan, Chief Accounting Officer at Zebra Technologies ZBRA, based on the most recent SEC filing. What Happened: OSullivan's recent purchase of 750 shares of Zebra Technologies, disclosed in a Form 4 filing with the U.S.",0.365276,Bullish,0.378777,Bullish,0,broad,
ZBRA,"Bullish Move: Jeffrey Schmitz Shows Confidence, Acquires $880K In Zebra Technologies Stock - Zebra Technologies  ( NASDAQ:ZBRA ) ",https://www.benzinga.com/insights/news/25/03/44192281/bullish-move-jeffrey-schmitz-shows-confidence-acquires-880k-in-zebra-technologies-stock,20250307T150430,Benzinga,"Disclosed in the latest SEC filing, a significant insider purchase on March 6, involves Jeffrey Schmitz, Chief People Officer at Zebra Technologies ZBRA. What Happened: A Form 4 filing with the U.S.",0.404812,Bullish,0.280294,Bullish,0,broad,
ZBRA,Smart Money Move: Edward Richard Hudson Grabs $1.08M Worth Of Zebra Technologies Stock - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/news/25/03/44192278/smart-money-move-edward-richard-hudson-grabs-1-08m-worth-of-zebra-technologies-stock,20250307T150425,Benzinga,"It was revealed in a recent SEC filing that Edward Richard Hudson, Chief Revenue Officer at Zebra Technologies ZBRA made a noteworthy insider purchase on March 6,. What Happened: Hudson demonstrated confidence in Zebra Technologies by purchasing 3,520 shares, as reported in a Form 4 filing with ...",0.348968,Somewhat-Bullish,0.274012,Bullish,0,focused,smart
ZBRA,Chief Legal Officer Of Zebra Technologies Makes $1.00M Buy - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/news/25/03/44192273/chief-legal-officer-of-zebra-technologies-makes-1-00m-buy,20250307T150420,Benzinga,"Disclosed in the latest SEC filing, a significant insider purchase on March 6, involves Cristen Kogl, Chief Legal Officer at Zebra Technologies ZBRA. What Happened: Kogl's recent purchase of 3,260 shares of Zebra Technologies, disclosed in a Form 4 filing with the U.S.",0.328066,Somewhat-Bullish,0.275246,Bullish,0,broad,
ZBRA,Major Purchase Alert: Andrew Nathan Winters Invests $1.66M In Zebra Technologies Stock - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/news/25/03/44192270/major-purchase-alert-andrew-nathan-winters-invests-1-66m-in-zebra-technologies-stock,20250307T150415,Benzinga,"On March 6, a substantial insider purchase was made by Andrew Nathan Winters, Chief Financial Officer at Zebra Technologies ZBRA, as per the latest SEC filing. What Happened: Winters made a significant move by purchasing 5,410 shares of Zebra Technologies as reported in a Form 4 filing with the ...",0.329521,Somewhat-Bullish,0.274628,Bullish,0,broad,
ZBRA,Eye On Growth: Bill Burns Adds $4.40M Of Zebra Technologies Stock To Portfolio - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/news/25/03/44192265/eye-on-growth-bill-burns-adds-4-40m-of-zebra-technologies-stock-to-portfolio,20250307T150411,Benzinga,"Disclosed in the latest SEC filing, a significant insider purchase on March 6, involves Bill Burns, Chief Executive Officer at Zebra Technologies ZBRA. What Happened: Burns demonstrated confidence in Zebra Technologies by purchasing 14,340 shares, as reported in a Form 4 filing with the U.S.",0.338716,Somewhat-Bullish,0.280938,Somewhat-Bullish,0,broad,
ZBRA,MongoDB  ( MDB )  Q4 2025 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/03/06/mongodb-mdb-q4-2025-earnings-call-transcript/,20250306T054512,Motley Fool,"MDB earnings call for the period ending December 31, 2024.",0.256436,Somewhat-Bullish,0.004201,Somewhat-Bullish,0,broad,
ZBRA,Medical centres compete to achieve 'smart hospital' status,https://www.ft.com/content/2805edfd-36db-4a58-b93f-411a18c6e003,20250305T050014,Financial Times,New systems can save lives and improve care - but the cost is a brake on progress ...,0.165694,Somewhat-Bullish,0.034233,Neutral,0,focused,smart
ZBRA,Zebra Technologies Acquires Photoneo & Boosts Product Portfolio,https://www.zacks.com/stock/news/2425266/zebra-technologies-acquires-photoneo-boosts-product-portfolio,20250304T153700,Zacks Commentary,ZBRA's acquisition of Photoneo is set to strengthen its product offerings and boost its position in the 3D machine vision solutions industry.,0.207305,Somewhat-Bullish,0.478198,Somewhat-Bullish,0,broad,
ZBRA,"Carahsoft and 60+ Solution Partners Exhibiting at HIMSS25 Global Health Conference and Exhibition on March 3-6, 2025, in Las Vegas, NV",https://www.benzinga.com/pressreleases/25/02/g44015247/carahsoft-and-60-solution-partners-exhibiting-at-himss25-global-health-conference-and-exhibition-o,20250227T170328,Benzinga,"RESTON, Va., Feb. 27, 2025 ( GLOBE NEWSWIRE ) -- Carahsoft Technology Corp., The Trusted Government IT Solutions Provider®, will be joined by more than 60 of its technology partners at the HIMSS25 Global Health Conference and Exhibition at the Venetian Convention & Expo Center and Caesars Forum ...",0.256489,Somewhat-Bullish,0.038969,Neutral,0,broad,
ZBRA,Here's Why You Should Avoid Investing in Zebra Technologies Now,https://www.zacks.com/stock/news/2422126/heres-why-you-should-avoid-investing-in-zebra-technologies-now,20250226T162300,Zacks Commentary,"Rising costs, high debt level and unfavorable foreign-currency movement are weighing on ZBRA's performance.",-0.019469,Neutral,0.500995,Neutral,0,broad,
ZBRA,Impinj Stock Plunges 21% in a Month: Hold Tight or Time to Let Go?,https://www.zacks.com/stock/news/2417039/impinj-stock-plunges-21-in-a-month-hold-tight-or-time-to-let-go,20250217T154800,Zacks Commentary,"Considering the ongoing geopolitical risks, excess market capacity and bearish signal from a key technical indicator, it is prudent to sell PI stock for now.",-0.058291,Neutral,0.129516,Neutral,0,broad,
ZBRA,"From tariffs to DOGE, what companies are saying about the impact of MAGA policies",https://www.cnbc.com/2025/02/17/tariffs-and-doge-what-companies-say-about-the-impact-of-maga-policies.html,20250217T142139,CNBC,See how companies are responding to the major themes of Trump's campaign and early days in office.,0.021611,Neutral,0.023673,Neutral,0,focused,AI
ZBRA,Zebra Technologies  ( ZBRA )  Q4 2024 Earnings Call Transcript,https://www.fool.com/earnings/call-transcripts/2025/02/13/zebra-technologies-zbra-q4-2024-earnings-call-tran/,20250213T181512,Motley Fool,"ZBRA earnings call for the period ending December 31, 2024.",0.306607,Somewhat-Bullish,0.004775,Neutral,0,broad,
ZBRA,"Zebra Tech Q4 Earnings: Revenue Surges 32%, CEO Cites Strong Retail Demand - Zebra Technologies  ( NASDAQ:ZBRA ) ",https://www.benzinga.com/news/earnings/25/02/43705227/zebra-tech-q4-earnings-revenue-surges-32-ceo-cites-strong-retail-demand,20250213T180224,Benzinga,"Zebra Technologies' Q4 sales rose 32.2% to $1.33B, driven by strong North American retail demand. Adjusted EPS reached $4.00, exceeding estimates; however, the company issued a cautious 2025 outlook due to global uncertainties.",0.221152,Somewhat-Bullish,0.413199,Somewhat-Bullish,0,focused,AI
ZBRA,"Zebra Technologies Q4 Earnings & Revenues Top Estimates, Rise Y/Y",https://www.zacks.com/stock/news/2415643/zebra-technologies-q4-earnings-revenues-top-estimates-rise-yy,20250213T164500,Zacks Commentary,"ZBRA's fourth-quarter 2024 revenues surge 32.2% year over year, driven by strength in the Asset Intelligence & Tracking and Enterprise Visibility & Mobility segments.",0.193982,Somewhat-Bullish,0.496915,Somewhat-Bullish,0,broad,
ZBRA,Zebra Technologies  ( ZBRA )  Tops Q4 Earnings and Revenue Estimates,https://www.zacks.com/stock/news/2415138/zebra-technologies-zbra-tops-q4-earnings-and-revenue-estimates,20250213T124504,Zacks Commentary,"Zebra (ZBRA) delivered earnings and revenue surprises of 1.27% and 1.81%, respectively, for the quarter ended December 2024. Do the numbers hold clues to what lies ahead for the stock?",0.136987,Neutral,0.133841,Neutral,0,broad,
ZBRA,"US Stocks Set For A Mixed Start Following Higher Inflation Print: Expert Says Earnings Remain Strong Despite Uncertainty - Applied Mat  ( NASDAQ:AMAT ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/general/market-summary/25/02/43686908/us-stocks-set-for-a-mixed-start-following-higher-inflation-print-expert-says-earnings-rema,20250213T105218,Benzinga,"U.S. stock futures were mixed on Thursday after a hotter-than-expected January inflation print, which was released on Wednesday. The S&P 500 and Dow Jones declined in premarket, whereas Nasdaq 100 and Russell 2000 were up.",0.083944,Neutral,0.091684,Neutral,0,focused,AI
ZBRA,Zebra Technologies Gears Up For Q4 Print; Here Are The Recent Forecast Changes From Wall Street's Most Accurate Analysts - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/25/02/43684916/zebra-technologies-gears-up-for-q4-print-here-are-the-recent-forecast-changes-from-wall-streets-most-accurate-ana,20250213T074014,Benzinga,"Zebra Technologies Corporation ZBRA will release its fourth-quarter financial results, before the opening bell, on Thursday, Feb. 13, 2025. Analysts expect the Lincolnshire, Illinois-based company to report quarterly earnings at $3.94 per share, up from $1.71 per share in the year-ago period.",0.24806,Somewhat-Bullish,0.60415,Bullish,0,broad,
ZBRA,"If You Invested $1000 in Jabil 10 Years Ago, This Is How Much You'd Have Now",https://www.zacks.com/stock/news/2414347/if-you-invested-1000-in-jabil-10-years-ago-this-is-how-much-youd-have-now,20250212T133007,Zacks Commentary,Holding on to popular or trending stocks for the long-term can make your portfolio a winner.,0.270867,Somewhat-Bullish,0.06179,Neutral,0,broad,
ZBRA,Zebra Technologies Gears Up to Post Q4 Earnings: What to Expect,https://www.zacks.com/stock/news/2413448/zebra-technologies-gears-up-to-post-q4-earnings-what-to-expect,20250211T135800,Zacks Commentary,ZBRA's fourth-quarter results are likely to benefit from the solid demand for mobile computing products and data capture solutions. Weakness in the printing end market is likely to hurt its results.,0.277443,Somewhat-Bullish,0.541766,Somewhat-Bullish,0,broad,
ZBRA,"Top 3 Tech Stocks That May Jump This Month - Impinj  ( NASDAQ:PI ) , Xerox Holdings  ( NASDAQ:XRX ) ",https://www.benzinga.com/25/02/43592071/top-3-tech-stocks-that-may-jump-this-month,20250210T135506,Benzinga,"The most oversold stocks in the information technology sector presents an opportunity to buy into undervalued companies. The RSI is a momentum indicator, which compares a stock's strength on days when prices go up to its strength on days when prices go down.",0.103108,Neutral,0.360752,Neutral,0,broad,
ZBRA,Proto Labs  ( PRLB )  Q4 Earnings and Revenues Top Estimates,https://www.zacks.com/stock/news/2411763/proto-labs-prlb-q4-earnings-and-revenues-top-estimates,20250207T121004,Zacks Commentary,"Proto Labs (PRLB) delivered earnings and revenue surprises of 11.76% and 1.64%, respectively, for the quarter ended December 2024. Do the numbers hold clues to what lies ahead for the stock?",0.1729,Somewhat-Bullish,0.198493,Neutral,0,broad,
ZBRA,"If You Invested $1000 in Jabil a Decade Ago, This is How Much It'd Be Worth Now",https://www.zacks.com/stock/news/2403614/if-you-invested-1000-in-jabil-a-decade-ago-this-is-how-much-itd-be-worth-now,20250127T133013,Zacks Commentary,Holding on to popular or trending stocks for the long-term can make your portfolio a winner.,0.287915,Somewhat-Bullish,0.061631,Neutral,0,broad,
ZBRA,How Is The Market Feeling About Zebra Technologies? - Zebra Technologies  ( NASDAQ:ZBRA ) ,https://www.benzinga.com/insights/short-sellers/25/01/43174071/how-is-the-market-feeling-about-zebra-technologies,20250123T200029,Benzinga,"Zebra Technologies's ZBRA short percent of float has risen 14.17% since its last report. The company recently reported that it has 619 thousand shares sold short, which is 1.37% of all regular shares that are available for trading.",0.287757,Somewhat-Bullish,0.209365,Neutral,0,focused,AI
ZBRA,Intelligent Product Solutions Promotes Bob Wild To CEO - Forward Industries  ( NASDAQ:FORD ) ,https://www.benzinga.com/pressreleases/25/01/g42973266/intelligent-product-solutions-promotes-bob-wild-to-ceo,20250114T135500,Benzinga,"HAUPPAUGE, N.Y., Jan. 14, 2025 ( GLOBE NEWSWIRE ) -- Intelligent Product Solutions ( IPS ) , an award-winning global product design firm, today announced that Bob Wild has been promoted to Chief Executive Officer ( CEO ) . Paul Severino, former CEO and Co-founder, will continue with IPS, as ...",0.26284,Somewhat-Bullish,0.07887,Neutral,0,focused,intelligent
ZBRA,"If You Invested $1000 in Jabil a Decade Ago, This is How Much It'd Be Worth Now",https://www.zacks.com/stock/news/2394910/if-you-invested-1000-in-jabil-a-decade-ago-this-is-how-much-itd-be-worth-now,20250110T133005,Zacks Commentary,Holding on to popular or trending stocks for the long-term can make your portfolio a winner.,0.26068,Somewhat-Bullish,0.062597,Neutral,0,broad,
ZBRA,Zebra Technologies to Buy Photoneo & Boost Product Portfolio,https://www.zacks.com/stock/news/2390087/zebra-technologies-to-buy-photoneo-boost-product-portfolio,20241231T145500,Zacks Commentary,ZBRA's acquisition of Photoneo is set to enable it to strengthen its product offerings and boost its position in the 3D machine vision solutions industry.,0.410142,Bullish,0.246999,Bullish,0,broad,
ZBRA,Here's How Much a $1000 Investment in Jabil Made 10 Years Ago Would Be Worth Today,https://www.zacks.com/stock/news/2387835/heres-how-much-a-1000-investment-in-jabil-made-10-years-ago-would-be-worth-today,20241225T133003,Zacks Commentary,Holding on to popular or trending stocks for the long-term can make your portfolio a winner.,0.24941,Somewhat-Bullish,0.062271,Neutral,0,broad,
